# poly_id: PS
# temp_target: 233.0
# n_atoms: 10000
# seed: 42
step temp density
3140250 232.88467 1.0807143
3140500 230.26238 1.0849583
3140750 233.94981 1.0886831
3141000 227.50141 1.0872906
3141250 234.21873 1.0841759
3141500 232.59319 1.085957
3141750 229.92653 1.08743
3142000 234.81259 1.0906883
3142250 231.63179 1.0853314
3142500 233.2877 1.0828206
3142750 232.88945 1.0814074
3143000 230.81592 1.0853266
3143250 234.6057 1.0864625
3143500 233.17707 1.0841034
3143750 236.23522 1.0833713
3144000 234.83848 1.0847518
3144250 234.75621 1.0865352
3144500 235.11248 1.0861812
3144750 231.88041 1.0821761
3145000 236.09774 1.0832172
3145250 231.45047 1.0849148
3145500 234.47591 1.0844901
3145750 232.04876 1.0802671
3146000 234.86158 1.0821421
3146250 232.29629 1.0812194
3146500 233.79865 1.0814998
3146750 232.96948 1.0829037
3147000 234.74753 1.0822832
3147250 231.87369 1.0815639
3147500 232.99139 1.0843661
3147750 231.26313 1.0857231
3148000 234.80312 1.0827703
3148250 230.80288 1.0802589
3148500 233.46024 1.0821951
3148750 232.17368 1.0831091
3149000 232.01408 1.0794316
3149250 233.84849 1.0818309
3149500 233.99456 1.0819024
3149750 231.4264 1.082922
3150000 232.86267 1.0828484
3150250 229.7515 1.0837574
3150500 232.88658 1.0885607
3150750 233.34134 1.0826383
3151000 234.02151 1.0850257
3151250 231.98801 1.081446
3151500 232.34003 1.0796744
3151750 231.33413 1.075121
3152000 232.0114 1.078289
3152250 234.20544 1.0863388
3152500 232.21492 1.0836285
3152750 232.7972 1.0888956
3153000 231.29613 1.0847485
3153250 234.67764 1.0874161
3153500 228.71187 1.088067
3153750 232.34341 1.0873017
3154000 231.37915 1.0876723
3154250 229.97001 1.0848843
3154500 237.12676 1.08284
3154750 232.08751 1.0844512
3155000 234.35667 1.0885357
3155250 231.34798 1.0885631
3155500 234.94393 1.0853445
3155750 233.40982 1.0858314
3156000 233.1576 1.0828145
3156250 233.54855 1.0827879
3156500 229.20027 1.0838217
3156750 234.65573 1.083795
3157000 233.81433 1.0834689
3157250 234.76785 1.0834811
3157500 234.62733 1.0849839
3157750 231.9825 1.0829001
3158000 233.79006 1.0854494
3158250 229.96131 1.0862287
3158500 236.22888 1.0885092
3158750 232.11139 1.0848847
3159000 233.67726 1.08362
3159250 229.66581 1.0848921
3159500 232.75071 1.0840411
3159750 233.03122 1.0870295
3160000 230.19416 1.0851804
3160250 233.30092 1.0817357
3160500 233.16075 1.0832394
3160750 234.22083 1.0865346
3161000 233.03793 1.0836487
3161250 234.38515 1.0831865
3161500 232.86679 1.086971
3161750 231.03333 1.0854683
3162000 236.73726 1.0849351
3162250 230.31996 1.0850708
3162500 232.22935 1.0819642
3162750 232.98526 1.0807914
3163000 236.16301 1.0851948
3163250 231.9105 1.0910138
3163500 235.94926 1.0858694
3163750 230.40763 1.0815567
3164000 231.58675 1.083771
3164250 234.59114 1.0875765
3164500 229.3426 1.0791852
3164750 235.38635 1.0798146
3165000 231.59442 1.0821428
3165250 232.17182 1.0824453
3165500 233.64579 1.0800795
3165750 230.44824 1.079311
3166000 236.46584 1.0784577
3166250 231.42517 1.0790826
3166500 234.70987 1.0794575
3166750 235.23891 1.0791079
3167000 235.60346 1.0900765
3167250 231.41614 1.0890122
3167500 233.2923 1.0873583
3167750 233.56031 1.0834296
3168000 235.50454 1.0838607
3168250 232.25872 1.0839274
3168500 233.36114 1.0837368
3168750 230.80461 1.0854773
3169000 234.77382 1.0897234
3169250 231.64456 1.0862244
3169500 232.80851 1.0815789
3169750 234.02882 1.079753
3170000 232.89407 1.0822125
3170250 233.78266 1.0791524
3170500 231.59434 1.0770547
3170750 229.99906 1.0814481
3171000 234.68732 1.0854503
3171250 232.90013 1.0868827
3171500 231.64838 1.0814741
3171750 235.66803 1.0829288
3172000 230.17594 1.0879395
3172250 235.07892 1.0863304
3172500 230.18134 1.0840851
3172750 235.28553 1.0846722
3173000 233.23408 1.0900059
3173250 239.17567 1.0881444
3173500 232.78465 1.0888062
3173750 230.66446 1.0854767
3174000 233.90621 1.0811589
3174250 232.19233 1.0782942
3174500 235.90782 1.0792347
3174750 235.93026 1.0814222
3175000 231.04273 1.0826611
3175250 233.42667 1.0845893
3175500 231.88329 1.0849211
3175750 234.65585 1.0839925
3176000 232.24268 1.088834
3176250 234.88008 1.0878485
3176500 233.39767 1.0834686
3176750 230.69366 1.0806305
3177000 233.21261 1.0814977
3177250 235.05908 1.0828504
3177500 229.11636 1.0799633
3177750 235.2865 1.0862682
3178000 232.5321 1.085198
3178250 234.27488 1.0845287
3178500 233.49138 1.0856645
3178750 234.81827 1.0887545
3179000 233.88804 1.0853686
3179250 231.13475 1.0884552
3179500 234.74197 1.0896998
3179750 230.36162 1.0873629
3180000 231.80703 1.0892253
3180250 231.90255 1.0872961
3180500 229.177 1.0882003
3180750 234.33562 1.0856686
3181000 235.25206 1.0831323
3181250 228.97152 1.0819086
3181500 235.93309 1.0833763
3181750 230.06361 1.0829157
3182000 233.63971 1.0865736
3182250 232.69 1.0865655
3182500 227.29198 1.0850531
3182750 233.2022 1.0865904
3183000 232.43632 1.0820919
3183250 230.98524 1.0829252
3183500 232.69156 1.086188
3183750 231.44664 1.0860875
3184000 236.39805 1.0837739
3184250 230.50632 1.0871233
3184500 234.60763 1.0870533
3184750 232.08899 1.087296
3185000 230.52471 1.0855486
3185250 230.68446 1.082949
3185500 232.40996 1.0815246
3185750 234.31564 1.0817835
3186000 233.63307 1.0817624
3186250 227.74755 1.0880239
3186500 232.28722 1.0877037
3186750 232.39791 1.086303
3187000 235.67007 1.0877094
3187250 233.52227 1.0857551
3187500 233.55892 1.085466
3187750 235.71326 1.0888015
3188000 230.93966 1.082968
3188250 233.6244 1.0804978
3188500 232.96734 1.0824694
3188750 231.09392 1.0865932
3189000 232.34888 1.0860607
3189250 231.55414 1.0817658
3189500 235.32635 1.0818465
3189750 230.31885 1.0871904
3190000 234.07257 1.0840636
3190250 230.87419 1.0819039
3190500 232.24638 1.0831781
3190750 230.20414 1.0841035
3191000 233.62448 1.0830964
3191250 232.22156 1.0863724
3191500 233.28881 1.0854454
3191750 237.00038 1.0790621
3192000 229.33289 1.0775562
3192250 234.58726 1.0866572
3192500 234.0854 1.0905923
3192750 231.75288 1.0895461
3193000 234.68855 1.0854054
3193250 229.73089 1.0801502
3193500 233.31613 1.0814709
3193750 231.87198 1.0881182
3194000 232.39066 1.0910147
3194250 232.56625 1.0918237
3194500 229.44057 1.0888257
3194750 231.61882 1.0842943
3195000 231.76412 1.082929
3195250 230.69405 1.086104
3195500 232.45949 1.0858766
3195750 230.67911 1.0817116
3196000 235.83633 1.0793195
3196250 232.89427 1.084837
3196500 234.23377 1.0889346
3196750 236.53246 1.085215
3197000 234.13253 1.0821128
3197250 234.06097 1.085607
3197500 233.0322 1.0879509
3197750 231.21492 1.0862065
3198000 234.98046 1.0875211
3198250 232.24816 1.0876989
3198500 235.98645 1.090517
3198750 230.19127 1.0857677
3199000 233.1318 1.087719
3199250 230.66956 1.0883589
3199500 234.57248 1.0893416
3199750 233.75983 1.0850737
3200000 232.46141 1.0902505
3200250 231.62028 1.0852105
3200500 237.43206 1.0788295
3200750 232.54087 1.0813564
3201000 235.50925 1.0868862
3201250 229.88857 1.0856026
3201500 233.54408 1.0844587
3201750 232.14028 1.082397
3202000 234.91544 1.084769
3202250 231.73304 1.080535
3202500 230.88357 1.0824833
3202750 233.81516 1.0857149
3203000 233.62976 1.0870439
3203250 233.30702 1.0832687
3203500 232.76285 1.0842911
3203750 231.91639 1.0811821
3204000 237.23667 1.0791015
3204250 232.2247 1.0825769
3204500 235.82987 1.0824432
3204750 234.08668 1.08687
3205000 234.37155 1.0834845
3205250 231.37976 1.0813031
3205500 233.39337 1.0767978
3205750 233.22123 1.0786803
3206000 235.65299 1.0809619
3206250 230.37059 1.0799804
3206500 233.27402 1.0807893
3206750 233.58288 1.0843408
3207000 233.60683 1.0829309
3207250 235.53646 1.0800751
3207500 231.32311 1.0854021
3207750 231.55065 1.0884993
3208000 233.24804 1.0803239
3208250 231.99419 1.0769378
3208500 235.76087 1.079572
3208750 234.12354 1.0810043
3209000 231.57856 1.0841674
3209250 233.07564 1.0849884
3209500 233.32334 1.0811872
3209750 233.47538 1.0797512
3210000 237.49049 1.0809518
3210250 234.00011 1.084038
3210500 231.29588 1.0842334
3210750 237.29493 1.0842713
3211000 230.8309 1.080619
3211250 235.39044 1.0804096
3211500 232.13962 1.0792003
3211750 235.31549 1.0836513
3212000 233.77479 1.0892518
3212250 234.89944 1.0872003
3212500 236.30482 1.0819737
3212750 233.49616 1.0853037
3213000 232.40791 1.0829807
3213250 233.47095 1.0839463
3213500 234.11774 1.0817259
3213750 235.28344 1.0810176
3214000 232.38926 1.0780333
3214250 231.95941 1.07647
3214500 232.70002 1.0804313
3214750 232.46993 1.0791969
