# poly_id: PS
# temp_target: 413.0
# n_atoms: 10000
# seed: 4200
step temp density
3140250 413.4666 1.0229162
3140500 415.34313 1.0182046
3140750 414.25874 1.0169358
3141000 414.56638 1.0214746
3141250 406.17863 1.0233938
3141500 415.81126 1.0225729
3141750 409.7431 1.0237147
3142000 413.82033 1.0206978
3142250 420.38365 1.0147495
3142500 411.6297 1.0170983
3142750 415.77248 1.0207454
3143000 409.846 1.024958
3143250 420.18246 1.0234285
3143500 412.48964 1.0199124
3143750 413.99865 1.0143648
3144000 415.75315 1.0161649
3144250 410.86429 1.0222382
3144500 413.63163 1.027864
3144750 411.68673 1.0295978
3145000 414.80643 1.0240242
3145250 414.35475 1.0206407
3145500 405.91979 1.0228365
3145750 417.24658 1.0282063
3146000 410.26088 1.0266304
3146250 416.87648 1.0254904
3146500 415.97378 1.0169432
3146750 413.36459 1.0121442
3147000 411.64156 1.0194561
3147250 414.93365 1.0245426
3147500 410.31563 1.0303772
3147750 411.7431 1.0316342
3148000 413.44984 1.0255526
3148250 409.65273 1.0234269
3148500 415.64525 1.0232237
3148750 411.8659 1.0260429
3149000 417.55689 1.0197004
3149250 410.15858 1.0182083
3149500 420.43504 1.0189157
3149750 407.74084 1.0227786
3150000 407.51367 1.0207941
3150250 415.64272 1.0226426
3150500 410.13441 1.0215487
3150750 413.03082 1.0281021
3151000 412.5981 1.0336441
3151250 408.65562 1.0341934
3151500 413.69288 1.0283907
3151750 408.89089 1.0254182
3152000 410.61313 1.0233035
3152250 414.10421 1.0234437
3152500 409.28861 1.0208384
3152750 409.5796 1.0232706
3153000 412.58257 1.0253204
3153250 416.6096 1.0272387
3153500 412.85985 1.0286263
3153750 415.42353 1.0251032
3154000 409.9291 1.0277675
3154250 410.7481 1.0235845
3154500 409.85179 1.0251032
3154750 407.40458 1.0269877
3155000 411.74072 1.0276325
3155250 414.2999 1.0270471
3155500 409.58683 1.0244569
3155750 411.2133 1.0245581
3156000 412.36291 1.0264207
3156250 412.27352 1.029082
3156500 411.1666 1.0290663
3156750 409.98873 1.0276883
3157000 411.43766 1.0279786
3157250 414.06037 1.0294034
3157500 412.01256 1.0315518
3157750 414.15322 1.0274338
3158000 418.40715 1.023792
3158250 413.87113 1.0212888
3158500 411.56223 1.0209217
3158750 411.50394 1.0221645
3159000 418.04182 1.0280549
3159250 419.0582 1.0298541
3159500 412.83159 1.0341878
3159750 417.12254 1.0342232
3160000 407.79609 1.0321516
3160250 416.0337 1.0284613
3160500 411.80326 1.0219446
3160750 412.81154 1.0200569
3161000 406.4427 1.0235461
3161250 411.19331 1.0241564
3161500 410.7841 1.030868
3161750 410.09638 1.0324719
3162000 415.81788 1.0332793
3162250 415.16364 1.0338219
3162500 417.888 1.0309846
3162750 408.78257 1.0254529
3163000 418.63141 1.0240896
3163250 409.44217 1.0228448
3163500 415.04639 1.0292108
3163750 413.30868 1.0281243
3164000 414.07026 1.0283211
3164250 414.53197 1.0309413
3164500 414.76073 1.0328547
3164750 414.05994 1.0272522
3165000 416.35577 1.0210441
3165250 413.06171 1.0246724
3165500 415.26811 1.0272663
3165750 412.71733 1.0304425
3166000 411.75462 1.0295552
3166250 417.16341 1.0250684
3166500 409.53893 1.0276305
3166750 408.76398 1.0279291
3167000 412.89689 1.0300633
3167250 408.81758 1.0281998
3167500 415.12779 1.0248738
3167750 412.94806 1.0301886
3168000 414.88782 1.0333084
3168250 417.24361 1.0335097
3168500 412.55701 1.0267917
3168750 411.28793 1.0240608
3169000 407.34934 1.0240498
3169250 414.96301 1.0282103
3169500 416.01913 1.0241291
3169750 407.1334 1.0266534
3170000 412.83233 1.0274203
3170250 408.88771 1.0268024
3170500 413.655 1.0292874
3170750 417.79686 1.0291217
3171000 410.09964 1.0272482
3171250 415.42701 1.0273534
3171500 415.74025 1.0285224
3171750 410.12518 1.0293775
3172000 418.63993 1.0292017
3172250 411.21463 1.0238701
3172500 411.50292 1.0249546
3172750 414.33702 1.0228204
3173000 409.77671 1.0247441
3173250 420.91791 1.0276183
3173500 410.42708 1.0284995
3173750 415.19463 1.0283173
3174000 414.28397 1.0294896
3174250 412.85459 1.0285728
3174500 412.93443 1.0285954
3174750 408.21788 1.0272337
3175000 419.8542 1.033473
3175250 406.552 1.0348597
3175500 417.84544 1.0277399
3175750 418.96368 1.0220466
3176000 408.95146 1.0202377
3176250 420.93076 1.0204766
3176500 414.89791 1.0225113
3176750 417.76956 1.0234498
3177000 411.57703 1.0222809
3177250 410.67753 1.0276285
3177500 418.79563 1.0343812
3177750 409.95811 1.0312287
3178000 417.98127 1.0262974
3178250 408.27095 1.024795
3178500 411.99898 1.0244382
3178750 419.94402 1.0234308
3179000 413.60267 1.0251794
3179250 413.22415 1.0295307
3179500 413.01613 1.0306445
3179750 413.00814 1.0275135
3180000 414.80945 1.0242783
3180250 407.37864 1.0238192
3180500 414.147 1.0242252
3180750 408.11545 1.0242304
3181000 412.86341 1.0290231
3181250 409.51222 1.0303722
3181500 414.04682 1.0289471
3181750 412.48686 1.0311779
3182000 411.99485 1.0284763
3182250 413.06296 1.0213746
3182500 407.24656 1.0226357
3182750 416.93111 1.0307486
3183000 413.99565 1.0362278
3183250 411.39055 1.0362875
3183500 414.28573 1.0303385
3183750 414.18335 1.0239693
3184000 413.13921 1.0246113
3184250 414.7809 1.0255601
3184500 412.12808 1.0277404
3184750 412.50879 1.0294899
3185000 413.75043 1.0314184
3185250 411.25471 1.0330661
