# poly_id: PODPM
# temp_target: 672.0
# n_atoms: 10000
# seed: 42
step temp density
3140250 676.27146 1.2710582
3140500 670.60123 1.2798107
3140750 665.50681 1.2728615
3141000 670.67654 1.2683891
3141250 673.4447 1.2718912
3141500 672.50028 1.2665397
3141750 678.41404 1.2698925
3142000 671.79214 1.2698528
3142250 679.58901 1.2679902
3142500 667.07627 1.2660317
3142750 672.58321 1.2633921
3143000 674.3564 1.2588878
3143250 669.5622 1.256246
3143500 671.48537 1.249017
3143750 669.78292 1.2522133
3144000 678.49106 1.2535446
3144250 665.20026 1.2547363
3144500 673.73137 1.2561584
3144750 677.42061 1.2575556
3145000 668.56219 1.2554667
3145250 666.52083 1.2569989
3145500 677.11663 1.257775
3145750 663.10576 1.2608111
3146000 674.68416 1.2646616
3146250 661.92768 1.2628393
3146500 671.30462 1.2645023
3146750 675.74287 1.257315
3147000 670.97197 1.2614458
3147250 680.98954 1.2709352
3147500 675.12425 1.2765356
3147750 672.74936 1.2709933
3148000 673.78926 1.2742318
3148250 674.32159 1.268574
3148500 662.96086 1.2699795
3148750 669.16531 1.2604717
3149000 662.00015 1.2541915
3149250 681.76415 1.2492695
3149500 663.6795 1.2424543
3149750 669.85798 1.2453246
3150000 667.65 1.2516816
3150250 670.71507 1.2519011
3150500 670.22817 1.2495369
3150750 670.31302 1.2430935
3151000 675.33903 1.2468627
3151250 651.73608 1.2542031
3151500 672.29381 1.2538166
3151750 673.45173 1.2499547
3152000 664.05619 1.2515023
3152250 671.02049 1.2448085
3152500 675.81171 1.2437991
3152750 668.21426 1.2418065
3153000 680.26999 1.2429812
3153250 672.63175 1.2475879
3153500 684.44513 1.2458875
3153750 677.8148 1.2488994
3154000 662.62742 1.2477851
3154250 680.8381 1.248607
3154500 663.66842 1.2488442
3154750 666.75765 1.2471607
3155000 678.57396 1.2473832
3155250 670.86853 1.254526
3155500 660.45975 1.256196
3155750 678.73683 1.2576498
3156000 669.46767 1.2542902
3156250 677.99123 1.2546286
3156500 674.18662 1.2570195
3156750 670.61524 1.2555346
3157000 671.08121 1.2550563
3157250 666.59846 1.2545571
3157500 663.68832 1.2552102
3157750 670.71192 1.2600108
3158000 664.76137 1.2598312
3158250 672.42307 1.2582165
3158500 668.04396 1.2520851
3158750 668.09176 1.2483424
3159000 676.93138 1.2474758
3159250 671.18508 1.2425051
3159500 669.16007 1.2465815
3159750 670.54148 1.2456231
3160000 667.67114 1.2464069
3160250 668.26049 1.2429036
3160500 676.47866 1.2442883
3160750 674.04825 1.2464248
3161000 672.39664 1.2455307
3161250 664.89574 1.2451981
3161500 675.52486 1.2497765
3161750 669.551 1.2562632
3162000 679.53961 1.2512354
3162250 674.66123 1.250436
3162500 669.03493 1.2471406
3162750 682.76238 1.251341
3163000 671.30456 1.2533765
3163250 677.69076 1.2520891
3163500 673.10508 1.2501477
3163750 670.27643 1.2540065
3164000 677.63934 1.2584698
3164250 665.54212 1.2645151
3164500 672.14139 1.2587052
3164750 685.24547 1.2550494
3165000 672.19331 1.2495348
3165250 678.26192 1.2505464
3165500 672.66847 1.2525146
3165750 671.00322 1.2489696
3166000 676.87542 1.2508125
3166250 675.53642 1.2475421
3166500 663.84009 1.247755
3166750 665.28761 1.2478986
3167000 671.64037 1.2440819
3167250 668.95357 1.2465832
3167500 675.77873 1.2433036
3167750 673.22614 1.2524719
3168000 661.47228 1.2482965
3168250 671.91859 1.2498583
3168500 677.46727 1.2489434
3168750 663.91785 1.2535076
3169000 668.22274 1.2503222
3169250 672.34795 1.245575
3169500 668.74247 1.2346485
3169750 675.30534 1.2329857
3170000 664.87189 1.2392944
3170250 667.38183 1.2434262
3170500 673.88402 1.2444109
3170750 673.68653 1.2499944
3171000 670.36977 1.2510996
3171250 671.75361 1.2608199
3171500 666.86201 1.2627928
3171750 669.97651 1.2585789
3172000 673.14707 1.2561796
3172250 683.78688 1.253205
3172500 678.75422 1.253738
3172750 677.85932 1.2544288
3173000 682.24979 1.2516077
3173250 677.04228 1.2501469
3173500 672.13212 1.2529209
3173750 668.60018 1.2555873
3174000 662.80399 1.2541287
3174250 674.15378 1.2513168
3174500 660.48133 1.2554849
3174750 672.93593 1.2643684
3175000 668.12447 1.2682626
3175250 668.03416 1.2694818
3175500 663.28607 1.2708071
3175750 675.46434 1.2630319
3176000 676.93744 1.2570553
3176250 675.49158 1.2542688
3176500 676.96488 1.2570369
3176750 680.89304 1.24595
3177000 679.59344 1.2439604
3177250 669.41311 1.2438047
3177500 679.76535 1.2433705
3177750 672.05249 1.2455381
3178000 676.07679 1.2427789
3178250 660.03836 1.250718
3178500 669.47926 1.2540093
3178750 679.49522 1.2598252
3179000 674.28341 1.2589607
3179250 661.79062 1.2539663
3179500 667.25972 1.2536151
3179750 673.78884 1.2480629
3180000 663.46043 1.2489375
3180250 673.9339 1.2483728
3180500 671.80801 1.2537663
3180750 671.39814 1.2520804
3181000 676.20618 1.2577171
3181250 667.89456 1.2649258
3181500 675.47388 1.2670823
3181750 670.6551 1.2642768
3182000 677.71066 1.2624023
3182250 664.33662 1.2630903
3182500 679.79306 1.2594853
3182750 673.831 1.2541625
3183000 675.35885 1.2491292
3183250 666.96489 1.2395293
3183500 678.17183 1.2467871
3183750 679.33176 1.2472416
3184000 657.02793 1.2490263
3184250 665.91166 1.2578184
3184500 672.11405 1.2618677
3184750 663.23361 1.2648655
3185000 669.07615 1.2619004
3185250 667.52186 1.26644
3185500 676.58318 1.2603923
3185750 674.83689 1.2590556
3186000 665.46385 1.2610887
3186250 679.13651 1.2589516
3186500 670.76821 1.2540247
3186750 673.50968 1.2563807
3187000 663.7825 1.2595265
3187250 672.98621 1.2590304
3187500 674.06307 1.2592788
3187750 667.99749 1.2570537
3188000 670.89892 1.2578279
3188250 669.86564 1.2655714
3188500 668.40666 1.2623728
3188750 675.90614 1.2533427
3189000 667.90955 1.2516541
3189250 669.45685 1.2494084
3189500 657.54726 1.2512105
3189750 678.03256 1.2576084
3190000 669.38577 1.2611848
3190250 662.01126 1.255511
3190500 678.17603 1.2522937
3190750 664.60317 1.2487318
3191000 676.87055 1.2408417
3191250 676.31433 1.2404606
3191500 669.77239 1.2451947
3191750 677.90394 1.2502061
3192000 674.24451 1.2522635
3192250 678.96777 1.2491741
3192500 669.05965 1.2466436
3192750 674.8618 1.2470486
3193000 676.61351 1.2463003
3193250 666.5564 1.2379352
3193500 676.62872 1.2404509
3193750 673.86003 1.2407066
3194000 684.0077 1.2505449
3194250 667.84907 1.2519778
3194500 662.5211 1.2501328
3194750 674.67992 1.2419469
3195000 670.06755 1.2457785
3195250 675.58128 1.2493364
3195500 672.0177 1.2516425
3195750 673.31407 1.2538224
3196000 669.00819 1.2511262
3196250 666.32076 1.2468705
3196500 668.59204 1.2459495
3196750 665.14402 1.2441243
3197000 678.30861 1.2430272
3197250 674.2996 1.2438698
3197500 676.6573 1.2460676
3197750 671.1699 1.2443284
3198000 674.18269 1.2453904
3198250 669.22335 1.2520112
3198500 673.76687 1.2497016
3198750 671.45514 1.2521147
3199000 676.94544 1.2564141
3199250 670.29325 1.2650359
3199500 666.5883 1.2677183
3199750 676.66117 1.261969
3200000 673.13187 1.2628683
3200250 684.73346 1.2579193
3200500 674.22589 1.2653832
3200750 674.21752 1.2607207
3201000 683.00181 1.2606416
3201250 674.66764 1.2576618
3201500 678.45935 1.258996
3201750 674.20029 1.2617709
3202000 676.17602 1.2642263
3202250 674.59384 1.2623062
3202500 679.41267 1.259502
3202750 663.11203 1.2554833
3203000 665.00006 1.2546293
3203250 670.88989 1.2566715
3203500 661.24289 1.2587613
3203750 674.36567 1.2513985
3204000 670.5126 1.25754
3204250 682.31507 1.2601288
3204500 671.50035 1.2534749
3204750 667.92776 1.2533324
3205000 672.65717 1.2523589
3205250 661.23061 1.2506012
3205500 673.86284 1.2498939
3205750 679.52644 1.255074
3206000 677.2448 1.2557196
3206250 672.55124 1.2587858
3206500 674.17877 1.2576251
3206750 669.18407 1.2482498
3207000 670.50763 1.2488256
3207250 671.17721 1.253722
3207500 672.23616 1.2529905
3207750 672.53131 1.2470454
3208000 661.55178 1.2434466
3208250 676.97575 1.2411501
3208500 677.78627 1.2421117
3208750 668.94313 1.2438654
3209000 675.07627 1.2445211
3209250 678.62229 1.2474696
3209500 675.62862 1.2535718
3209750 680.70187 1.2486572
3210000 672.66945 1.25399
3210250 672.46885 1.2556001
3210500 662.79445 1.2518777
3210750 670.61187 1.2593908
3211000 667.01346 1.2610625
3211250 669.68243 1.2536751
3211500 676.56703 1.2585125
3211750 670.42191 1.2586354
3212000 671.73495 1.2657545
3212250 667.49892 1.2604341
3212500 673.71765 1.256457
3212750 677.25383 1.2554767
