# poly_id: PODPM
# temp_target: 592.0
# n_atoms: 10000
# seed: 42
step temp density
3140250 590.40473 1.2622153
3140500 593.19988 1.2650417
3140750 588.43913 1.2618232
3141000 594.44652 1.2613732
3141250 587.01562 1.2673316
3141500 591.65618 1.2658149
3141750 595.23435 1.2625814
3142000 586.82592 1.2623161
3142250 591.47103 1.2630533
3142500 600.27494 1.2606524
3142750 589.47809 1.2563647
3143000 600.80738 1.2519574
3143250 587.85947 1.2532176
3143500 588.31555 1.2560179
3143750 596.12063 1.2590091
3144000 589.21188 1.2577159
3144250 594.02396 1.2559251
3144500 589.21136 1.2596147
3144750 595.22437 1.2656307
3145000 597.29271 1.2687889
3145250 598.75336 1.2688118
3145500 598.60575 1.2686919
3145750 597.67398 1.2678026
3146000 589.79989 1.2654678
3146250 599.03917 1.2608726
3146500 587.40438 1.2604403
3146750 598.22547 1.2584602
3147000 595.04974 1.2556174
3147250 587.61155 1.2558296
3147500 597.02606 1.2528855
3147750 587.75687 1.2591244
3148000 590.41789 1.2586296
3148250 598.79445 1.2565521
3148500 583.53224 1.2561353
3148750 597.15938 1.2528606
3149000 584.44374 1.2504491
3149250 591.5955 1.2561349
3149500 586.9348 1.2559593
3149750 596.1618 1.256508
3150250 586.21724 1.2508701
3150500 591.98637 1.2446257
3150750 589.88385 1.2502929
3151000 596.33144 1.2508828
3151250 585.33698 1.2555631
3151500 594.51573 1.2561205
3151750 586.74577 1.2548224
3152000 595.27078 1.2573607
3152250 599.96384 1.2555795
3152500 600.18697 1.2630608
3152750 585.34678 1.2645744
3153000 598.58931 1.2627395
3153250 591.61027 1.2570543
3153500 594.1692 1.2535236
3153750 588.79712 1.2528929
3154000 591.22435 1.2555977
3154250 585.14428 1.2543821
3154500 595.81376 1.2637332
3154750 588.84306 1.2631626
3155000 587.36213 1.2610132
3155250 605.57816 1.260679
3155500 591.41486 1.2593653
3155750 593.24498 1.2606562
3156000 592.65005 1.2600398
3156250 596.74433 1.2610037
3156500 586.64497 1.2656871
3156750 595.55535 1.2720093
3157000 586.79288 1.2687588
3157250 590.27787 1.2704903
3157500 593.29158 1.2697407
3157750 588.05535 1.2703421
3158000 591.83134 1.2739373
3158250 589.79963 1.2671853
3158500 591.65244 1.2581603
3158750 588.03458 1.2586313
3159000 596.98935 1.2649652
3159250 588.16031 1.2697623
3159500 596.61584 1.2638202
3159750 595.35218 1.2593644
3160000 591.46577 1.2630921
3160250 597.22569 1.2657794
3160500 584.90895 1.2631087
3160750 600.00155 1.2568279
3161000 588.92788 1.2609878
3161250 583.28633 1.260788
3161500 593.14816 1.2645383
3161750 588.34211 1.2644812
3162000 594.19782 1.2581124
3162250 589.11574 1.2595839
3162500 596.57787 1.2641268
3162750 585.24517 1.260633
3163000 598.44931 1.2627568
3163250 589.82503 1.2611653
3163500 592.31528 1.2552725
3163750 596.48212 1.2554645
3164000 597.18838 1.2564367
3164250 590.39491 1.2526136
3164500 591.5366 1.2562702
3164750 580.73468 1.2580177
3165000 586.08706 1.2555836
3165250 589.65461 1.2532683
3165500 587.08161 1.2495441
3165750 591.01872 1.2505868
3166000 580.82203 1.2538329
3166250 589.57153 1.2579023
3166500 592.21821 1.2610233
3166750 599.29812 1.2600464
3167000 594.1867 1.2656972
3167250 596.72595 1.2603532
3167500 587.73285 1.2602602
3167750 594.83773 1.2588441
3168000 593.82723 1.2595352
3168250 587.05259 1.2621675
3168500 595.67775 1.2582165
3168750 586.12764 1.2544265
3169000 592.34579 1.2528935
3169250 582.31963 1.2605381
3169500 587.57777 1.2626083
3169750 583.14955 1.2703663
3170000 592.00218 1.2665522
3170250 589.12131 1.2595095
3170500 595.72227 1.251455
3170750 593.88681 1.2528923
3171000 585.97447 1.2571936
3171250 598.7209 1.2583457
3171500 587.68744 1.261179
3171750 596.37456 1.2678706
3172000 589.23522 1.2669194
3172250 589.53014 1.2574429
3172500 584.2109 1.2637074
3172750 586.36764 1.2586007
3173000 587.80982 1.2578914
3173250 600.64251 1.2631293
3173500 591.17504 1.2585951
3173750 590.1274 1.2636054
3174000 592.94967 1.2642418
3174250 589.81347 1.257429
3174500 591.06694 1.2610433
3174750 591.62082 1.2603577
3175000 589.06681 1.2583913
3175250 590.05534 1.2592357
3175500 597.51914 1.2587018
3175750 585.60878 1.2572615
3176000 592.20072 1.2541676
3176250 595.28532 1.2565734
3176500 597.28816 1.253027
3176750 597.93298 1.255206
3177000 584.9556 1.2537092
3177250 596.88277 1.2453146
3177500 590.64077 1.2438711
3177750 586.66062 1.2487303
3178000 591.10391 1.2513771
3178250 585.52586 1.2533504
3178500 596.9263 1.2607545
3178750 590.21465 1.2604687
3179000 597.06854 1.259113
3179250 595.44373 1.2573548
3179500 588.70463 1.2627817
3179750 594.2124 1.265591
3180000 596.7465 1.2620885
3180250 587.98532 1.2634556
3180500 589.92883 1.2588307
3180750 593.07501 1.259044
3181000 597.26547 1.2574351
3181250 592.13886 1.2626318
3181500 590.44134 1.260083
3181750 588.81828 1.2572075
3182000 588.77863 1.256071
3182250 594.56862 1.2597072
3182500 586.4677 1.2580297
3182750 591.55005 1.2620024
3183000 583.78337 1.2642547
3183250 592.1524 1.2651963
3183500 589.31819 1.2645866
3183750 594.44628 1.2625856
3184000 586.97553 1.2595387
3184250 592.97964 1.2661864
3184500 599.03423 1.262682
3184750 587.89232 1.257407
3185000 595.75951 1.2571977
3185250 592.12883 1.2558982
3185500 593.20057 1.2556861
3185750 593.30281 1.2522992
3186000 595.30259 1.2508487
3186250 596.90678 1.2521029
3186500 595.41981 1.2550397
3186750 591.39561 1.261442
3187000 597.85752 1.2616245
3187250 590.02078 1.2677265
3187500 585.41146 1.2656326
3187750 593.54002 1.2669862
3188000 587.85334 1.2680175
3188250 592.70256 1.2682566
3188500 590.85244 1.2690481
3188750 597.28955 1.2704813
3189000 597.70498 1.2717313
3189250 592.91872 1.2722889
3189500 590.77585 1.2646694
3189750 591.01655 1.2625101
3190000 583.97257 1.2631314
3190250 589.71765 1.2606139
3190500 582.78453 1.2574215
3190750 594.64163 1.2599292
3191000 591.38909 1.2519172
3191250 599.0115 1.2544963
3191500 588.0383 1.2501597
3191750 587.95182 1.2523384
3192000 592.84432 1.2534068
3192250 589.98463 1.2527266
3192500 591.18665 1.2496936
3192750 596.76943 1.2477483
3193000 580.48725 1.2549035
3193250 597.39629 1.2605216
3193500 592.91379 1.2577118
3193750 593.89066 1.2589436
3194000 586.60678 1.2598844
3194250 599.87909 1.264121
3194500 587.81114 1.26455
3194750 585.67049 1.2624483
3195000 594.88225 1.2698961
3195250 592.43269 1.2721233
3195500 600.22328 1.270366
3195750 588.60334 1.2706892
3196000 600.25914 1.2637213
3196250 590.8527 1.2591717
3196500 593.77713 1.2635592
3196750 586.18315 1.2616394
3197000 589.40739 1.2641703
3197250 584.72293 1.2634756
3197500 582.36807 1.257864
3197750 590.27893 1.2589185
3198000 594.32066 1.2587223
3198250 591.28086 1.2579004
3198500 595.11534 1.2602866
3198750 597.30377 1.2609281
3199000 595.12497 1.2573463
3199250 590.32097 1.2602067
3199500 600.99613 1.2617706
3199750 587.3477 1.2605667
3200000 598.62415 1.2677582
3200250 597.04859 1.2662783
3200500 590.57274 1.2614151
3200750 594.02747 1.2642248
3201000 585.41361 1.2663017
3201250 595.22567 1.2659305
3201500 590.65641 1.2698445
3201750 593.48815 1.2717007
3202000 582.6613 1.2678851
3202250 593.69779 1.2678643
3202500 589.86396 1.2632542
3202750 595.26845 1.2694117
3203000 593.50641 1.2662101
3203250 580.88497 1.2617482
3203500 595.02363 1.2646161
3203750 585.21097 1.2631412
3204000 598.46385 1.2603223
3204250 592.58787 1.2621528
3204500 597.15845 1.2604508
3204750 592.78247 1.2624023
3205000 589.69299 1.2641591
3205250 590.95998 1.2612256
3205500 592.80898 1.2674947
3205750 588.86233 1.2633565
3206000 581.71664 1.2630094
3206250 587.92962 1.259721
3206500 591.02508 1.2646988
3206750 590.49448 1.2699175
3207000 593.78275 1.2675666
3207250 580.47122 1.2673292
3207500 592.86324 1.2696381
3207750 582.52813 1.2725778
3208000 589.70437 1.2754879
3208250 596.0262 1.2768073
3208500 578.42288 1.275864
3208750 591.50419 1.2767187
3209000 599.00354 1.2639954
3209250 585.7148 1.2632727
3209500 592.40548 1.2663663
3209750 594.93506 1.2722403
3210000 584.55372 1.2730859
3210250 595.67897 1.2725452
3210500 594.43458 1.270329
3210750 590.86011 1.2620944
3211000 587.65779 1.259628
3211250 597.51437 1.2540627
3211500 591.5331 1.2512209
3211750 592.60761 1.2564299
3212000 588.68158 1.2547016
3212250 585.01369 1.2596291
3212500 600.86376 1.2664346
3212750 586.29474 1.2636063
3213000 599.15409 1.2616634
3213250 594.30104 1.271052
3213500 592.89064 1.2732209
3213750 588.82732 1.2719982
3214000 597.5802 1.2702735
3214250 590.73144 1.2636748
3214500 596.45678 1.2638849
3214750 590.71289 1.2631029
3215000 585.11784 1.2643235
3215250 594.41274 1.2705402
3215500 595.80265 1.2644935
3215750 588.9383 1.2653019
3216000 592.62371 1.2613335
3216250 595.67259 1.2523058
3216500 598.17032 1.2545632
3216750 597.44542 1.2537587
3217000 589.20233 1.2540584
3217250 590.89991 1.2542977
3217500 586.81438 1.2558177
3217750 594.28639 1.2570006
3218000 587.83601 1.2561988
3218250 596.34925 1.2530416
3218500 587.4455 1.2516446
3218750 595.48515 1.2550341
3219000 593.07759 1.2555541
3219250 587.59607 1.2626372
3219500 598.5673 1.2605771
3219750 592.41097 1.2584919
3220000 584.60084 1.2574029
3220250 588.84539 1.2551808
3220500 584.46112 1.2580523
3220750 592.37612 1.2559319
3221000 591.4983 1.2610726
3221250 592.19764 1.2583975
3221500 588.84507 1.2569782
3221750 597.60393 1.2596275
3222000 585.66183 1.2509943
3222250 593.05053 1.2507784
3222500 601.06195 1.2515072
3222750 594.58429 1.2562494
3223000 590.0053 1.2565654
3223250 593.58659 1.2552667
3223500 598.23859 1.2624849
3223750 587.30842 1.2651452
3224000 591.29157 1.2717984
3224250 601.34827 1.2705802
3224500 588.52584 1.2714589
3224750 593.81727 1.2739548
3225000 588.31026 1.2667204
3225250 593.8837 1.2671418
3225500 596.37372 1.2638725
3225750 589.6779 1.2550199
3226000 595.8696 1.2559506
3226250 578.24299 1.2590517
3226500 590.03975 1.2635731
3226750 593.12957 1.2692332
3227000 585.26397 1.2661195
3227250 592.6114 1.2681152
3227500 594.85852 1.2640035
3227750 592.03323 1.2547544
3228000 599.67036 1.2560725
3228250 589.31605 1.2562165
3228500 592.97285 1.2603938
3228750 592.43561 1.2640348
3229000 599.10875 1.2669804
3229250 589.11264 1.2629346
3229500 600.52403 1.2558235
3229750 595.87064 1.2556356
3230000 592.73251 1.2585258
3230250 596.81601 1.2548991
3230500 598.97419 1.261132
3230750 586.23359 1.2574019
3231000 595.69592 1.2537055
3231250 594.92992 1.2582247
3231500 596.52557 1.2594123
3231750 590.96545 1.2643965
3232000 591.36815 1.2649694
3232250 592.8744 1.2626329
3232500 593.89225 1.2616097
3232750 584.79858 1.2629303
3233000 592.32011 1.2631819
3233250 588.37903 1.266034
3233500 588.62186 1.2674749
3233750 591.27715 1.2677174
3234000 587.68499 1.268995
3234250 596.17414 1.2652349
3234500 590.1141 1.2653326
3234750 594.39219 1.264386
3235000 600.10324 1.2616288
3235250 590.76299 1.2587851
3235500 593.97716 1.2556819
3235750 587.94275 1.2585835
3236000 600.53712 1.2629847
3236250 586.80097 1.2658761
3236500 593.31437 1.2720264
3236750 593.85664 1.2693452
3237000 593.61499 1.2725911
3237250 595.12654 1.2786633
3237500 580.75128 1.270217
3237750 590.90911 1.2701585
3238000 588.34233 1.2775569
3238250 591.8571 1.276963
3238500 591.87812 1.26928
3238750 590.9546 1.2664166
3239000 596.01458 1.261182
3239250 588.21982 1.2625322
3239500 591.65733 1.2595958
3239750 589.74534 1.2664179
3240000 585.42874 1.267806
3240250 591.24624 1.2693427
3240500 583.24256 1.2643936
3240750 595.43538 1.2628149
3241000 591.34668 1.2628711
3241250 593.439 1.2632015
3241500 596.2395 1.2621053
3241750 579.17407 1.2572112
3242000 602.08234 1.2584483
3242250 588.92493 1.2519123
3242500 599.55301 1.2528403
3242750 590.05821 1.2591646
3243000 593.12714 1.2599272
3243250 581.03492 1.2595148
3243500 594.00739 1.2590685
3243750 587.72858 1.2586503
3244000 592.36763 1.2569807
3244250 588.50304 1.260634
3244500 587.07855 1.2539078
3244750 595.98196 1.2563642
3245000 588.24613 1.256635
3245250 588.81918 1.2544126
3245500 587.7343 1.2561259
3245750 592.90638 1.2577877
3246000 588.64065 1.2557484
3246250 589.84482 1.2580042
3246500 603.37926 1.2605654
3246750 584.38775 1.2629676
3247000 597.55739 1.266492
3247250 592.89723 1.2670852
3247500 594.83837 1.2644904
3247750 592.23745 1.2640818
3248000 587.08963 1.2587867
3248250 595.23037 1.2573817
3248500 586.1445 1.2609885
3248750 594.58699 1.268415
3249000 596.35591 1.2716945
3249250 595.10944 1.2768875
3249500 596.99253 1.2719885
3249750 587.93629 1.2773394
3250000 591.27605 1.2738826
3250250 597.30515 1.2712464
3250500 587.9308 1.2718444
3250750 590.72696 1.267478
3251000 590.42451 1.267326
3251250 597.30751 1.2651122
3251500 590.10343 1.2603824
3251750 585.87005 1.2653467
3252000 594.38612 1.2671616
3252250 584.82114 1.2638648
3252500 602.58613 1.2581339
3252750 587.35077 1.2576173
3253000 600.23952 1.2594583
3253250 589.63304 1.2610706
3253500 590.46218 1.2585528
