# poly_id: PODPM
# temp_target: 632.0
# n_atoms: 10000
# seed: 4200
step temp density
3140250 629.42749 1.2623469
3140500 640.15082 1.2570961
3140750 634.96915 1.2616349
3141000 640.41296 1.2674041
3141250 640.08434 1.2654723
3141500 637.14408 1.2679777
3141750 638.87227 1.2629556
3142000 619.70842 1.2627923
3142250 628.75968 1.2596907
3142500 633.45795 1.2580195
3142750 627.90782 1.2548854
3143000 626.78331 1.2503825
3143250 627.68698 1.2391945
3143500 636.58803 1.2394257
3143750 634.8853 1.2434555
3144000 639.41256 1.2487677
3144250 639.68445 1.2545083
3144500 628.74361 1.2508248
3144750 631.31873 1.2502746
3145000 631.30981 1.2558925
3145250 630.80961 1.2597733
3145500 635.75459 1.2667654
3145750 618.71159 1.2662805
3146000 637.00622 1.2641583
3146250 632.54827 1.2597905
3146500 621.14168 1.2579593
3146750 636.8463 1.2588579
3147000 632.81688 1.2572119
3147250 633.6983 1.2514875
3147500 627.84192 1.2486902
3147750 632.9934 1.2461561
3148000 632.83943 1.2524514
3148250 626.23157 1.2504404
3148500 632.72008 1.2551516
3148750 631.53277 1.2540498
3149000 620.37807 1.2614268
3149250 623.46261 1.2630407
3149500 627.00366 1.263881
3149750 630.44521 1.2603951
3150000 639.72868 1.2603762
3150250 631.0664 1.2558886
3150500 634.03491 1.2500612
3150750 632.60056 1.2462798
3151000 634.9412 1.246469
3151250 638.00235 1.246667
3151500 633.79137 1.2500461
3151750 633.06117 1.2580015
3152000 628.66881 1.263574
3152250 636.68509 1.2595942
3152500 629.18415 1.2663229
3152750 630.17555 1.2639863
3153000 634.32778 1.2648413
3153250 633.35698 1.2636368
3153500 637.20147 1.2560319
3153750 627.79525 1.2583263
3154000 630.37251 1.2634298
3154250 636.77581 1.2705601
3154500 629.77197 1.2760616
3154750 629.70976 1.2779693
3155000 629.72003 1.2748821
3155250 627.52026 1.2787928
3155500 639.64584 1.2789245
3155750 632.96153 1.2751307
3156000 632.21405 1.271001
3156250 631.54939 1.2672883
3156500 631.4447 1.2700497
3156750 632.53029 1.2726981
3157000 640.36519 1.2686776
3157250 625.55103 1.2746883
3157500 632.66484 1.269924
3157750 636.53378 1.2663555
3158000 635.73092 1.2677636
3158250 622.8849 1.2635918
3158500 633.00685 1.26414
3158750 626.92062 1.2653096
3159000 638.45623 1.2681939
3159250 634.11136 1.2775947
3159500 636.09324 1.2775116
3159750 629.47669 1.2814529
3160000 638.24059 1.2722767
3160250 632.89522 1.2739697
3160500 629.28483 1.2726944
3160750 625.54016 1.2717354
3161000 631.3029 1.2649777
3161250 628.0592 1.2642869
3161500 634.34428 1.2644743
3161750 625.98968 1.2694031
3162000 632.6697 1.2705513
3162250 635.50816 1.27069
3162500 626.20783 1.2649953
3162750 626.92645 1.2666698
3163000 636.16986 1.2617343
3163250 623.83902 1.2599868
3163500 633.46762 1.2563301
3163750 630.87594 1.2532867
3164000 637.49835 1.2476147
3164250 632.34933 1.2453595
3164500 638.411 1.2424471
3164750 639.70151 1.2471447
3165000 634.61144 1.2456046
3165250 634.72945 1.2474244
3165500 634.75544 1.2519096
3165750 640.12507 1.2597507
