# poly_id: PODPM
# temp_target: 752.0
# n_atoms: 10000
# seed: 420
step temp density
3140250 749.94034 1.2109669
3140500 745.45465 1.2105389
3140750 748.79404 1.2084544
3141000 751.69106 1.212834
3141250 758.38228 1.2176055
3141500 758.78873 1.2103904
3141750 744.21685 1.2070564
3142000 745.14317 1.2090544
3142250 739.55748 1.2055661
3142500 757.10246 1.2074846
3142750 758.67077 1.207091
3143000 751.30238 1.203154
3143250 757.43085 1.2020856
3143500 751.66634 1.2036657
3143750 750.3435 1.2109988
3144000 750.28588 1.2136885
3144250 754.79869 1.216973
3144500 759.22847 1.2108506
3144750 749.66365 1.2096517
3145000 761.40805 1.2125556
3145250 753.61375 1.214524
3145500 743.16934 1.2192304
3145750 762.76083 1.2149133
3146000 747.16064 1.2094418
3146250 766.01897 1.2009397
3146500 750.60118 1.2008386
3146750 764.33007 1.2033478
3147000 750.99136 1.2054967
3147250 742.7161 1.2050346
3147500 760.6469 1.2045377
3147750 748.9231 1.2074124
3148000 753.15023 1.2080494
3148250 761.1303 1.2100859
3148500 750.7985 1.2067981
3148750 754.07784 1.2079268
3149000 757.077 1.2055215
3149250 765.05602 1.208585
3149500 744.22895 1.2109891
3149750 754.15859 1.2080873
3150000 748.32692 1.2096323
3150250 741.96716 1.211706
3150500 757.59893 1.2072041
3150750 750.34393 1.2058299
3151000 746.90545 1.2109083
3151250 758.42898 1.2107814
3151500 750.43419 1.2112947
3151750 763.20811 1.2126831
3152000 744.23289 1.2138489
3152250 753.26776 1.2124657
3152500 745.7149 1.2151946
3152750 754.23636 1.2192816
3153000 749.80439 1.2187058
3153250 749.24483 1.2183867
3153500 750.8899 1.2150326
3153750 749.75785 1.2087466
3154000 747.67996 1.2009056
3154250 752.53632 1.2004203
3154500 740.58484 1.1948211
3154750 752.6637 1.1823465
3155000 747.38949 1.1896139
3155250 748.28568 1.1989439
3155500 753.41542 1.1993133
3155750 757.82101 1.1938389
3156000 766.79774 1.187871
3156250 748.85054 1.1897129
3156500 749.25461 1.1981313
3156750 750.09042 1.1956085
3157000 748.36917 1.1946815
3157250 757.06844 1.2034028
3157500 753.11133 1.2003883
3157750 753.31056 1.2005828
3158000 749.49523 1.2010283
3158250 764.9587 1.1999038
3158500 740.73323 1.2074655
3158750 752.98159 1.2098074
3159000 745.35031 1.2124523
3159250 752.85997 1.2029168
3159500 747.41049 1.2039103
3159750 758.44965 1.2072117
3160000 755.50828 1.210733
3160250 751.23721 1.2101445
3160500 759.90665 1.203206
3160750 749.09201 1.1998266
3161000 756.70678 1.1993984
3161250 737.40847 1.2039271
3161500 746.47827 1.211246
3161750 757.37547 1.2150094
3162000 744.82934 1.2161408
3162250 756.26296 1.21012
3162500 739.62421 1.211967
3162750 749.68216 1.2105596
3163000 749.28089 1.2054602
