# poly_id: PODPM
# temp_target: 692.0
# n_atoms: 10000
# seed: 42
step temp density
3140250 695.18852 1.2425998
3140500 689.0739 1.2476197
3140750 687.18632 1.2452569
3141000 691.90402 1.2497212
3141250 696.91084 1.2558534
3141500 688.68017 1.2578157
3141750 689.47482 1.2516239
3142000 697.97416 1.2434446
3142250 685.10801 1.2409009
3142500 695.6953 1.2391285
3142750 692.33285 1.2376894
3143000 694.30659 1.2354189
3143250 696.02512 1.2363573
3143500 688.84218 1.239289
3143750 688.49943 1.2420748
3144000 689.36214 1.2412014
3144250 693.33796 1.2517742
3144500 688.71453 1.2536521
3144750 689.62149 1.2588845
3145000 688.83392 1.264752
3145250 692.87453 1.261373
3145500 686.40629 1.2609453
3145750 684.9032 1.2625036
3146000 692.74975 1.260614
3146250 692.43953 1.2616374
3146500 689.37664 1.2522625
3146750 692.85296 1.2527441
3147000 691.34911 1.2528869
3147250 687.81115 1.2513371
3147500 691.48595 1.2478071
3147750 690.73219 1.2458992
3148000 690.988 1.2396545
3148250 693.87408 1.2427264
3148500 693.65281 1.244892
3148750 677.08803 1.2446235
3149000 691.80281 1.2445501
3149250 679.47306 1.2444918
3149500 695.8827 1.2456872
3149750 677.83646 1.2369886
3150000 696.88557 1.2422609
3150250 690.89379 1.2417509
3150500 696.97281 1.2404656
3150750 692.42982 1.2409237
3151000 687.4845 1.242057
3151250 699.46779 1.2424793
3151500 689.79108 1.2446368
3151750 700.65958 1.2356007
3152000 688.40045 1.2357407
3152250 695.03686 1.2371976
3152500 698.22432 1.2396296
3152750 694.17317 1.2414051
3153000 694.95754 1.2458452
3153250 688.88122 1.2441457
3153500 694.69718 1.2450668
3153750 680.46212 1.2471542
3154000 691.76308 1.2445267
3154250 706.33959 1.2460535
3154500 690.26449 1.2474497
3154750 688.52361 1.2463004
3155000 698.22623 1.246622
3155250 688.46187 1.2467507
3155500 685.98325 1.2500631
3155750 693.72014 1.2574768
3156000 689.25345 1.259665
3156250 691.66246 1.254172
3156500 688.97406 1.2584593
3156750 687.27218 1.2534282
3157000 693.82917 1.2552588
3157250 685.99981 1.2549629
3157500 687.4137 1.2494203
3157750 695.90794 1.2447244
3158000 689.1948 1.2443147
3158250 692.30122 1.2557728
3158500 695.79165 1.2510513
3158750 681.07382 1.24671
3159000 707.24536 1.2458457
3159250 696.86137 1.2379613
3159500 699.4072 1.2392049
3159750 682.36416 1.2372598
3160000 689.71606 1.2387357
3160250 690.29641 1.2367752
3160500 690.00588 1.2403458
3160750 696.06312 1.2440737
3161000 694.54005 1.2461112
