# poly_id: PODPM
# temp_target: 712.0
# n_atoms: 10000
# seed: 42
step temp density
3140250 723.5087 1.2428623
3140500 722.95163 1.2428795
3140750 707.95955 1.2393756
3141000 713.74709 1.23874
3141250 708.6754 1.2354618
3141500 718.80663 1.2398352
3141750 712.44088 1.2397044
3142000 723.59917 1.2394362
3142250 717.95656 1.2315294
3142500 720.11178 1.2270536
3142750 713.14799 1.2245248
3143000 710.23638 1.222173
3143250 713.6362 1.2228518
3143500 713.57519 1.2292674
3143750 699.1118 1.2301375
3144000 713.97822 1.2351801
3144250 713.62348 1.2348343
3144500 712.78718 1.2374062
3144750 721.46975 1.2331691
3145000 714.55475 1.2370452
3145250 703.36614 1.2424386
3145500 716.31315 1.2457244
3145750 717.46486 1.2442173
3146000 725.22799 1.2413934
3146250 697.5237 1.2398695
3146500 714.93268 1.2392495
3146750 706.68037 1.2364864
3147000 704.02331 1.2366244
3147250 712.70127 1.2439342
3147500 710.23317 1.2497779
3147750 716.42136 1.2575709
3148000 707.71883 1.2510398
3148250 720.96577 1.2473912
3148500 720.57942 1.242143
3148750 700.52579 1.2395161
3149000 720.28572 1.2368179
3149250 704.41519 1.2299149
3149500 705.29108 1.2321063
3149750 712.40833 1.2342054
3150000 718.87223 1.2314287
3150250 708.48678 1.2347556
3150500 713.86997 1.2322767
3150750 698.09895 1.2283693
3151000 716.86392 1.2300072
3151250 708.94859 1.2343741
3151500 704.51122 1.2429204
3151750 714.0957 1.2435509
3152000 712.09043 1.2436198
3152250 719.19955 1.2489475
3152500 698.41894 1.2505658
3152750 709.30082 1.2443918
3153000 713.88012 1.2391828
3153250 710.58909 1.2403584
3153500 714.2257 1.2420776
3153750 704.72491 1.2389544
3154000 715.92993 1.2355207
3154250 709.98363 1.2362806
3154500 717.31564 1.2312815
3154750 714.47891 1.2260217
3155000 709.43989 1.2283013
3155250 720.17554 1.2337898
3155500 709.35934 1.23878
3155750 719.33726 1.2396359
3156000 706.61164 1.2429601
3156250 717.53515 1.2389805
3156500 710.52681 1.2404135
3156750 722.2714 1.2417846
3157000 713.93549 1.2367517
3157250 712.02578 1.2321199
3157500 718.64895 1.2343412
3157750 704.78666 1.2351406
3158000 712.70806 1.2318645
3158250 708.7783 1.2303566
3158500 708.42089 1.2314821
3158750 716.7844 1.2290021
