# poly_id: PODPM
# temp_target: 532.0
# n_atoms: 10000
# seed: 420
step temp density
3140250 538.08514 1.2783335
3140500 532.80346 1.2762271
3140750 538.83383 1.2787927
3141000 526.56856 1.2777891
3141250 529.92587 1.2767424
3141500 529.24479 1.2769028
3141750 529.77954 1.2790603
3142000 533.84584 1.2764564
3142250 530.90925 1.2759123
3142500 536.53081 1.2674621
3142750 537.81009 1.2656126
3143000 529.79903 1.2651726
3143250 536.65689 1.2601132
3143500 524.54575 1.2605981
3143750 539.43162 1.2684652
3144000 532.67078 1.2775186
3144250 531.95047 1.2816832
3144500 535.56834 1.2781237
3144750 529.78915 1.2806126
3145000 536.80848 1.2772134
3145250 535.12524 1.2783656
3145500 530.32317 1.2769157
3145750 540.74449 1.2753977
3146000 533.01576 1.2782394
3146250 532.13339 1.2821297
3146500 538.10908 1.2812959
3146750 531.86284 1.2848334
3147000 537.01073 1.287192
3147250 536.94055 1.2824803
3147500 530.91927 1.2798276
3147750 538.36067 1.2788815
3148000 534.79234 1.272869
3148250 534.78328 1.2763645
3148500 534.43337 1.2839901
3148750 524.20171 1.2800122
3149000 537.41506 1.2851823
3149250 531.47863 1.2810972
3149500 526.35489 1.2787091
3149750 532.66008 1.2797317
3150000 525.45165 1.2717431
3150250 531.1974 1.2708527
3150500 533.94976 1.2780136
3150750 535.54563 1.2765978
3151000 529.1002 1.2688809
3151250 538.83095 1.2679167
3151500 529.425 1.2717709
3151750 532.96923 1.2762834
3152000 533.8597 1.2803156
3152250 529.10182 1.2778092
3152500 530.72989 1.2758494
3152750 527.77775 1.2772517
3153000 534.18277 1.2794363
3153250 528.63943 1.2807865
3153500 532.74751 1.2788904
3153750 534.88323 1.2798834
3154000 531.15029 1.2828353
3154250 537.20233 1.2823661
3154500 528.55546 1.2806974
3154750 536.31217 1.2810529
3155000 528.06021 1.2760087
3155250 536.80756 1.277941
3155500 531.90416 1.2771373
3155750 528.50045 1.2787741
3156000 532.10167 1.2791264
3156250 529.69036 1.2809073
3156500 528.17157 1.282597
3156750 537.05747 1.2833178
3157000 531.85274 1.2795751
3157250 535.57958 1.2794886
3157500 532.67531 1.2826318
3157750 528.56743 1.2818852
3158000 532.04128 1.2821711
3158250 538.99735 1.2735437
3158500 530.30798 1.2727792
3158750 536.17254 1.2762118
3159000 528.20832 1.2796024
3159250 539.2099 1.2772098
3159500 529.09566 1.2773214
3159750 532.56985 1.2822388
3160000 527.08338 1.2817849
3160250 538.60794 1.2824125
3160500 528.17193 1.276114
3160750 526.1602 1.2762748
3161000 535.76905 1.2758868
3161250 533.35409 1.2803958
3161500 534.48331 1.2816948
3161750 529.67573 1.2789381
3162000 529.55951 1.2787942
3162250 535.08592 1.2774889
3162500 530.6275 1.2769684
3162750 535.30445 1.2798649
3163000 527.277 1.2793352
3163250 524.03336 1.2761786
3163500 522.78647 1.2763257
3163750 531.89811 1.2817409
3164000 533.56621 1.2815378
3164250 529.99796 1.2862472
3164500 534.48274 1.2893274
3164750 528.47188 1.2812833
3165000 533.7447 1.2781577
3165250 532.58377 1.281361
3165500 528.78104 1.2799701
3165750 530.85085 1.2822276
3166000 529.93473 1.2870835
3166250 535.91979 1.2835452
3166500 527.63618 1.2768051
3166750 533.64145 1.2754266
3167000 535.67833 1.2801008
3167250 528.21086 1.2820649
3167500 540.24062 1.2832883
3167750 525.3519 1.2860844
3168000 533.14158 1.2880678
3168250 534.37548 1.2862565
3168500 527.31633 1.2880477
3168750 534.72205 1.2846842
3169000 537.90799 1.2835581
3169250 529.41296 1.2814391
3169500 533.54131 1.2814119
3169750 528.73111 1.2849089
3170000 537.76117 1.2880737
3170250 526.8235 1.2888279
3170500 531.43782 1.2877567
3170750 535.8694 1.2857574
3171000 532.93455 1.2942069
3171250 538.68738 1.2962598
3171500 540.58845 1.3002503
3171750 527.75407 1.2972929
3172000 538.65609 1.2945839
3172250 526.34135 1.2902654
3172500 535.24732 1.2846777
3172750 525.65005 1.2859802
3173000 526.83688 1.2837039
3173250 529.75681 1.2835072
3173500 529.08883 1.2899336
3173750 535.292 1.2817097
3174000 526.81644 1.2788863
3174250 526.04426 1.275473
3174500 530.94538 1.2807152
3174750 530.80828 1.2818025
3175000 530.23521 1.2809368
3175250 530.52348 1.2780031
3175500 530.7845 1.2848869
3175750 531.45807 1.2824824
3176000 533.24531 1.2854274
3176250 527.34489 1.286355
3176500 530.00943 1.2791075
3176750 529.98065 1.2739229
3177000 529.45258 1.274598
3177250 530.45345 1.2728511
3177500 539.22286 1.2673796
3177750 528.36304 1.2672182
3178000 530.95779 1.2654942
3178250 535.40667 1.2672044
3178500 531.76751 1.2706181
3178750 536.27709 1.2741448
3179000 530.32429 1.2817495
3179250 533.17199 1.2866253
3179500 535.39719 1.2819639
3179750 528.15162 1.2785679
3180000 536.08367 1.2753821
3180250 534.4457 1.2720353
3180500 529.09316 1.2719867
3180750 537.74525 1.2700908
3181000 526.83703 1.2725423
3181250 538.57003 1.2746594
3181500 528.19534 1.277541
3181750 531.4325 1.2792457
3182000 521.65877 1.2841644
3182250 528.78438 1.2840036
3182500 532.75711 1.2803708
3182750 525.61314 1.2816474
3183000 533.37401 1.282716
3183250 531.46014 1.2855788
3183500 534.46533 1.2796078
3183750 534.20088 1.2811425
3184000 533.21145 1.279806
3184250 528.69781 1.2816083
3184500 534.33328 1.2827236
3184750 524.54325 1.28633
3185000 537.15907 1.2913814
3185250 533.47339 1.2918813
3185500 528.6248 1.2898116
3185750 533.56145 1.2885401
3186000 532.06974 1.2879074
3186250 529.33435 1.286292
3186500 533.90848 1.2893551
3186750 539.74529 1.286754
3187000 530.17902 1.2845873
3187250 535.70807 1.2813001
3187500 534.62001 1.2804558
3187750 528.04633 1.2864191
3188000 531.6583 1.2879767
3188250 524.39316 1.2820384
