# poly_id: PODPM
# temp_target: 392.0
# n_atoms: 10000
# seed: 420
step temp density
3140250 391.01114 1.3283791
3140500 398.16349 1.3290155
3140750 389.9409 1.3293519
3141000 394.09156 1.3351667
3141250 388.64431 1.334005
3141500 398.79641 1.3369483
3141750 390.65522 1.3360706
3142000 392.59592 1.3291694
3142250 391.7435 1.320784
3142500 393.86457 1.3229658
3142750 388.21997 1.3212827
3143000 392.71977 1.3221094
3143250 391.50031 1.3203438
3143500 396.55872 1.3218703
3143750 391.20078 1.3220454
3144000 391.91667 1.3255596
3144250 394.34243 1.3204994
3144500 394.09322 1.3205129
3144750 392.68869 1.3242748
3145000 393.83755 1.3254108
3145250 394.08604 1.3270685
3145500 388.36381 1.3244761
3145750 393.42045 1.3287766
3146000 390.02364 1.3305269
3146250 391.23654 1.3279375
3146500 397.03012 1.3297818
3146750 392.62187 1.3321222
3147000 394.35067 1.3338427
3147250 389.07914 1.3294948
3147500 394.73994 1.3249826
3147750 390.69935 1.3242974
3148000 390.7512 1.3213937
3148250 393.71987 1.3148438
3148500 389.4616 1.3210751
3148750 391.63165 1.3270348
3149000 393.73012 1.3314334
3149250 390.22141 1.3321489
3149500 391.17487 1.3354875
3149750 392.03056 1.3320843
3150000 389.81044 1.3280355
3150250 389.76432 1.3271376
3150500 389.06533 1.32144
3150750 396.93281 1.3177274
3151000 391.04157 1.322468
3151250 395.02665 1.3240558
3151500 389.12055 1.3267912
3151750 392.63815 1.328591
3152000 393.90213 1.3272255
3152250 389.37211 1.3314809
3152500 400.24991 1.3343113
3152750 392.97526 1.3347859
3153000 395.57495 1.3297648
3153250 393.42995 1.329401
3153500 393.2062 1.3272408
3153750 391.45883 1.3247951
3154000 389.6426 1.3222061
3154250 390.74893 1.3233362
3154500 395.50016 1.3309368
3154750 392.89118 1.3348892
3155000 396.20702 1.3320467
3155250 391.03559 1.3333283
3155500 398.06012 1.3279711
3155750 390.2545 1.3285923
3156000 394.96058 1.3270527
3156250 386.29716 1.3278339
3156500 387.97456 1.3300294
3156750 393.53843 1.3270703
3157000 397.16524 1.32191
3157250 388.28674 1.3257389
3157500 397.71852 1.3255467
3157750 390.07129 1.323778
3158000 391.40673 1.3244541
3158250 389.31529 1.3273819
3158500 392.54456 1.3247521
3158750 395.26102 1.3257308
3159000 389.04634 1.3264272
3159250 394.2422 1.3301294
3159500 399.46913 1.3329779
3159750 387.389 1.3357874
3160000 392.28011 1.3298307
3160250 386.79166 1.3287133
3160500 393.85502 1.330748
3160750 385.90951 1.3263303
3161000 393.03178 1.3244127
3161250 391.77264 1.3252065
3161500 389.76252 1.3260202
3161750 393.35623 1.3265048
3162000 392.88529 1.3240872
3162250 394.82345 1.3266183
3162500 391.19707 1.3273546
3162750 395.83109 1.3266097
3163000 388.4773 1.3276617
3163250 393.57114 1.3251732
3163500 391.04306 1.3273526
3163750 388.28929 1.3232599
3164000 390.94153 1.3242309
3164250 394.28096 1.3244916
3164500 390.70371 1.3204528
3164750 386.92683 1.3193747
3165000 394.12914 1.3226325
3165250 392.50338 1.3274744
3165500 390.25474 1.3298727
3165750 392.01995 1.3290189
3166000 396.37654 1.3275893
3166250 388.67575 1.3236576
3166500 391.88368 1.3223125
3166750 385.46198 1.3225628
3167000 392.82382 1.3226833
3167250 390.37792 1.3247544
3167500 393.06448 1.3258344
3167750 389.40929 1.3279424
3168000 395.03546 1.3262925
3168250 391.22365 1.3264097
3168500 389.97458 1.3285117
3168750 397.29523 1.3327806
3169000 392.08007 1.3288727
3169250 396.11785 1.3300448
3169500 392.49103 1.3260721
3169750 392.88806 1.3292551
3170000 392.04009 1.3262261
3170250 392.16284 1.3230467
3170500 393.3032 1.3223543
3170750 383.73167 1.3273503
3171000 391.65785 1.3323318
3171250 389.0682 1.3327873
3171500 386.65446 1.33183
3171750 390.83102 1.326832
3172000 391.14626 1.3247067
3172250 393.37495 1.3261922
3172500 392.18139 1.3247976
3172750 391.46248 1.323772
3173000 389.75506 1.3224219
3173250 390.69554 1.3239476
3173500 393.03612 1.3219366
3173750 395.49963 1.3236663
3174000 388.85868 1.322158
3174250 394.92655 1.3240232
3174500 391.82183 1.3221103
3174750 390.22404 1.3239622
3175000 397.00365 1.3240776
3175250 389.65358 1.3194562
3175500 392.20257 1.3185715
3175750 389.51816 1.3283893
3176000 388.93597 1.3252423
3176250 392.04857 1.3272196
3176500 390.49244 1.3265077
3176750 394.97192 1.3259761
3177000 389.21978 1.3254816
3177250 392.97937 1.3288573
3177500 399.34202 1.3255423
3177750 389.58714 1.3304971
3178000 395.94035 1.3348641
3178250 391.99914 1.3288625
3178500 390.68947 1.3250195
3178750 393.05132 1.3259777
3179000 395.48978 1.3249527
3179250 391.56685 1.3225538
